Feature,Importance
Feature 1,3.3499596e-06
Feature 2,3.2586386e-06
Feature 3,4.395675e-06
Feature 4,3.5786713e-06
Feature 5,3.1108511e-06
Feature 6,3.9348056e-06
Feature 7,3.5758824e-06
Feature 8,3.058228e-06
Feature 9,2.9082876e-06
Feature 10,2.341955e-06
Feature 11,5.094658e-06
Feature 12,3.2644273e-06
Feature 13,2.0636014e-06
Feature 14,3.1065063e-06
Feature 15,2.5292338e-06
Feature 16,3.1811137e-06
Feature 17,3.1172267e-06
Feature 18,4.7690396e-06
Feature 19,3.962174e-06
Feature 20,1.8322595e-06
Feature 21,2.6575115e-06
Feature 22,3.0645767e-06
Feature 23,3.6907136e-06
Feature 24,3.5984535e-06
Feature 25,3.822078e-06
Feature 26,3.1217671e-06
Feature 27,2.4428098e-06
Feature 28,6.3199864e-06
Feature 29,3.104399e-06
Feature 30,4.23979e-06
Feature 31,2.999445e-06
Feature 32,7.4526824e-06
Feature 33,5.242812e-06
Feature 34,3.363524e-06
Feature 35,5.1477787e-06
Feature 36,3.881122e-06
Feature 37,2.7270637e-06
Feature 38,3.8729577e-06
Feature 39,2.475509e-06
Feature 40,3.439043e-06
Feature 41,2.7592357e-06
Feature 42,2.5001377e-06
Feature 43,3.8978533e-06
Feature 44,2.6985058e-06
Feature 45,4.0990394e-06
Feature 46,2.833975e-06
Feature 47,3.970851e-06
Feature 48,2.5809318e-06
Feature 49,2.9238035e-06
Feature 50,2.2149334e-06
Feature 51,3.2739702e-06
Feature 52,1.881212e-06
Feature 53,2.8224226e-06
Feature 54,2.9945181e-06
Feature 55,3.9483275e-06
Feature 56,4.037496e-06
Feature 57,5.0647727e-06
Feature 58,5.7468033e-06
Feature 59,3.3743956e-06
Feature 60,3.776679e-06
Feature 61,3.0495655e-06
Feature 62,2.9741882e-06
Feature 63,3.5332878e-06
Feature 64,2.787909e-06
Feature 65,5.254208e-06
Feature 66,3.4585612e-06
Feature 67,3.3394e-06
Feature 68,3.840138e-06
Feature 69,2.5347147e-06
Feature 70,2.5979252e-06
Feature 71,3.419983e-06
Feature 72,3.8024284e-06
Feature 73,4.3299333e-06
Feature 74,3.953042e-06
Feature 75,4.127603e-06
Feature 76,3.4180337e-06
Feature 77,3.0072756e-06
Feature 78,2.8670852e-06
Feature 79,2.547152e-06
Feature 80,4.9029395e-06
Feature 81,3.8507296e-06
Feature 82,4.5873667e-06
Feature 83,3.2874764e-06
Feature 84,5.05205e-06
Feature 85,2.9583832e-06
Feature 86,1.959787e-06
Feature 87,2.5955394e-06
Feature 88,3.5503958e-06
Feature 89,2.5493123e-06
Feature 90,2.5990541e-06
Feature 91,2.7130868e-06
Feature 92,2.7497288e-06
Feature 93,2.8142078e-06
Feature 94,5.268489e-06
Feature 95,4.0989075e-06
Feature 96,3.098513e-06
Feature 97,2.6794764e-06
Feature 98,2.5058591e-06
Feature 99,3.0401163e-06
Feature 100,2.1057251e-06
Feature 101,2.9280857e-06
Feature 102,3.724526e-06
Feature 103,2.3095145e-06
Feature 104,3.6194194e-06
Feature 105,4.1337e-06
Feature 106,5.241273e-06
Feature 107,3.0297842e-06
Feature 108,2.8144068e-06
Feature 109,3.0233223e-06
Feature 110,6.749538e-06
Feature 111,6.527121e-06
Feature 112,7.5406947e-06
Feature 113,5.5633764e-06
Feature 114,2.9714631e-06
Feature 115,3.3557774e-06
Feature 116,4.274214e-06
Feature 117,2.6917855e-06
Feature 118,2.3421487e-06
Feature 119,2.599553e-06
Feature 120,4.4935978e-06
Feature 121,4.526516e-06
Feature 122,4.2202787e-06
Feature 123,2.8197678e-06
Feature 124,3.1612217e-06
Feature 125,2.2145368e-06
Feature 126,2.9641726e-06
Feature 127,4.3555474e-06
Feature 128,3.8031592e-06
Feature 129,3.3744677e-06
Feature 130,3.9922215e-06
Feature 131,2.367485e-06
Feature 132,4.1150433e-06
Feature 133,2.3597472e-06
Feature 134,5.174231e-06
Feature 135,2.226923e-06
Feature 136,1.7060595e-06
Feature 137,2.656693e-06
Feature 138,4.2953634e-06
Feature 139,3.6958456e-06
Feature 140,5.846108e-06
Feature 141,3.1386835e-06
Feature 142,4.2899233e-06
Feature 143,3.835494e-06
Feature 144,2.5681234e-06
Feature 145,4.363353e-06
Feature 146,3.2473738e-06
Feature 147,3.1585907e-06
Feature 148,4.1748026e-06
Feature 149,5.6653553e-06
Feature 150,2.8889274e-06
Feature 151,3.1679708e-06
Feature 152,3.8485978e-06
Feature 153,4.583196e-06
Feature 154,2.8104507e-06
Feature 155,5.386805e-06
Feature 156,3.7108105e-06
Feature 157,3.68637e-06
Feature 158,2.9734883e-06
Feature 159,4.5913407e-06
Feature 160,1.9754514e-06
Feature 161,4.667304e-06
Feature 162,4.699228e-06
Feature 163,5.6203708e-06
Feature 164,4.344776e-06
Feature 165,4.982798e-06
Feature 166,2.7565654e-06
Feature 167,5.859158e-06
Feature 168,3.5472588e-06
Feature 169,3.7808504e-06
Feature 170,6.8916975e-06
Feature 171,2.757678e-06
Feature 172,3.8296134e-06
Feature 173,3.1458508e-06
Feature 174,3.0496883e-06
Feature 175,3.5945955e-06
Feature 176,3.7059078e-06
Feature 177,2.6042908e-06
Feature 178,4.527014e-06
Feature 179,4.024951e-06
Feature 180,4.320321e-06
Feature 181,5.179855e-06
Feature 182,2.529997e-06
Feature 183,2.7137633e-06
Feature 184,3.752192e-06
Feature 185,5.67352e-06
Feature 186,5.149575e-06
Feature 187,4.7832814e-06
Feature 188,3.3283727e-06
Feature 189,3.6672338e-06
Feature 190,3.7518225e-06
Feature 191,6.7218957e-06
Feature 192,2.6385853e-06
Feature 193,3.647123e-06
Feature 194,3.2684497e-06
Feature 195,4.189877e-06
Feature 196,5.271471e-06
Feature 197,2.610699e-06
Feature 198,2.880236e-06
Feature 199,4.791515e-06
Feature 200,6.8403797e-06
Feature 201,2.8099964e-06
Feature 202,3.3809029e-06
Feature 203,4.3793298e-06
Feature 204,2.6747064e-06
Feature 205,4.400078e-06
Feature 206,2.8717675e-06
Feature 207,3.4915756e-06
