Feature,Importance
Feature 1,5.170466e-05
Feature 2,5.9581864e-05
Feature 3,3.3186087e-05
Feature 4,4.4046963e-05
Feature 5,3.6036647e-05
Feature 6,7.7478166e-05
Feature 7,6.1594e-05
Feature 8,6.747169e-05
Feature 9,5.146055e-05
Feature 10,4.733687e-05
Feature 11,6.898236e-05
Feature 12,4.8972848e-05
Feature 13,7.344437e-05
Feature 14,7.794911e-05
Feature 15,6.5588436e-05
Feature 16,7.606913e-05
Feature 17,6.8774825e-05
Feature 18,5.488583e-05
Feature 19,6.9864596e-05
Feature 20,2.8797087e-05
Feature 21,7.9097335e-05
Feature 22,6.5270906e-05
Feature 23,9.182222e-05
Feature 24,4.6389e-05
Feature 25,6.518266e-05
Feature 26,5.4003332e-05
Feature 27,5.0010574e-05
Feature 28,7.969892e-05
Feature 29,7.77931e-05
Feature 30,6.9640446e-05
Feature 31,4.0956424e-05
Feature 32,9.2479095e-05
Feature 33,6.8882124e-05
Feature 34,5.1845112e-05
Feature 35,6.664089e-05
Feature 36,6.4613014e-05
Feature 37,5.6643406e-05
Feature 38,5.8750436e-05
Feature 39,6.084068e-05
Feature 40,3.963597e-05
Feature 41,5.212228e-05
Feature 42,3.422693e-05
Feature 43,6.119306e-05
Feature 44,7.565266e-05
Feature 45,3.6150304e-05
Feature 46,5.3375705e-05
Feature 47,8.729092e-05
Feature 48,6.8032656e-05
Feature 49,5.5915763e-05
Feature 50,5.0483064e-05
Feature 51,5.684966e-05
Feature 52,3.7268397e-05
Feature 53,4.629004e-05
Feature 54,5.8685382e-05
Feature 55,6.566432e-05
Feature 56,6.262236e-05
Feature 57,5.4012296e-05
Feature 58,5.1676598e-05
Feature 59,4.975237e-05
Feature 60,5.1285995e-05
Feature 61,8.382895e-05
Feature 62,3.7021135e-05
Feature 63,4.7431386e-05
Feature 64,5.7191708e-05
Feature 65,5.4026128e-05
Feature 66,5.6935012e-05
Feature 67,6.30903e-05
Feature 68,5.2171563e-05
Feature 69,5.8082023e-05
Feature 70,5.896631e-05
Feature 71,5.7249596e-05
Feature 72,6.911164e-05
Feature 73,7.064164e-05
Feature 74,6.229641e-05
Feature 75,7.543894e-05
Feature 76,5.380516e-05
Feature 77,7.293445e-05
Feature 78,5.5027038e-05
Feature 79,3.737355e-05
Feature 80,5.8188543e-05
Feature 81,5.6869863e-05
Feature 82,3.9608134e-05
Feature 83,5.6349763e-05
Feature 84,6.962192e-05
Feature 85,7.505364e-05
Feature 86,5.465306e-05
Feature 87,5.1504707e-05
Feature 88,5.6236713e-05
Feature 89,5.3345604e-05
Feature 90,5.3326006e-05
Feature 91,5.8905433e-05
Feature 92,6.903629e-05
Feature 93,5.5618042e-05
Feature 94,4.588896e-05
Feature 95,8.389063e-05
Feature 96,6.988023e-05
Feature 97,4.718531e-05
Feature 98,4.5347995e-05
Feature 99,6.112507e-05
Feature 100,3.4250694e-05
Feature 101,6.0193724e-05
Feature 102,8.258398e-05
Feature 103,4.7371384e-05
Feature 104,5.6717847e-05
Feature 105,5.4636566e-05
Feature 106,5.822528e-05
Feature 107,6.9009e-05
Feature 108,5.908211e-05
Feature 109,4.442451e-05
Feature 110,7.924154e-05
Feature 111,5.9747043e-05
Feature 112,7.960336e-05
Feature 113,5.713904e-05
Feature 114,8.624258e-05
Feature 115,5.497758e-05
Feature 116,6.209205e-05
Feature 117,6.2641906e-05
Feature 118,6.0310285e-05
Feature 119,4.154694e-05
Feature 120,6.909055e-05
Feature 121,5.3972384e-05
Feature 122,5.3827825e-05
Feature 123,6.4998865e-05
Feature 124,6.590253e-05
Feature 125,6.246785e-05
Feature 126,4.1543353e-05
Feature 127,5.612098e-05
Feature 128,0.000115355026
Feature 129,5.4242068e-05
Feature 130,4.8290447e-05
Feature 131,4.2697287e-05
Feature 132,4.2546595e-05
Feature 133,3.3045177e-05
Feature 134,5.0669638e-05
Feature 135,5.152543e-05
Feature 136,4.0835042e-05
Feature 137,4.66007e-05
Feature 138,4.379546e-05
Feature 139,6.9965274e-05
Feature 140,6.256304e-05
Feature 141,3.833092e-05
Feature 142,8.292086e-05
Feature 143,7.795844e-05
Feature 144,6.9772235e-05
Feature 145,5.0412455e-05
Feature 146,5.84436e-05
Feature 147,5.8475005e-05
Feature 148,5.7528243e-05
Feature 149,6.194086e-05
Feature 150,6.1536426e-05
Feature 151,5.9187136e-05
Feature 152,4.2149237e-05
Feature 153,7.7947996e-05
Feature 154,4.946623e-05
Feature 155,5.3869182e-05
Feature 156,7.59559e-05
Feature 157,5.3027758e-05
Feature 158,5.1806554e-05
Feature 159,5.534517e-05
Feature 160,5.4170156e-05
Feature 161,6.9540765e-05
Feature 162,8.677794e-05
Feature 163,6.198784e-05
Feature 164,0.00011374136
Feature 165,7.857376e-05
Feature 166,5.826174e-05
Feature 167,6.297239e-05
Feature 168,6.643307e-05
Feature 169,5.8168553e-05
Feature 170,6.3712796e-05
Feature 171,8.7152126e-05
Feature 172,4.5216824e-05
Feature 173,5.4400847e-05
Feature 174,5.4916774e-05
Feature 175,6.0246806e-05
Feature 176,7.6395976e-05
Feature 177,4.4642522e-05
Feature 178,6.471603e-05
Feature 179,5.1306677e-05
Feature 180,5.1072366e-05
Feature 181,9.801198e-05
Feature 182,0.00011782091
Feature 183,6.353932e-05
Feature 184,5.610234e-05
Feature 185,7.5661184e-05
Feature 186,7.5386066e-05
Feature 187,6.184452e-05
Feature 188,3.7788563e-05
Feature 189,6.62119e-05
Feature 190,8.06514e-05
Feature 191,7.226309e-05
Feature 192,5.309331e-05
Feature 193,5.1499723e-05
Feature 194,7.161467e-05
Feature 195,6.039375e-05
Feature 196,6.473782e-05
Feature 197,5.6207566e-05
Feature 198,7.9644546e-05
Feature 199,7.4380914e-05
Feature 200,7.82866e-05
Feature 201,5.7208494e-05
Feature 202,6.267207e-05
Feature 203,6.638614e-05
Feature 204,4.86235e-05
Feature 205,7.7725796e-05
Feature 206,4.687652e-05
Feature 207,8.401309e-05
Feature 208,7.298642e-05
Feature 209,5.3410306e-05
Feature 210,8.8770306e-05
Feature 211,8.497365e-05
Feature 212,3.5790323e-05
Feature 213,5.268629e-05
Feature 214,4.7449645e-05
Feature 215,6.853901e-05
Feature 216,6.019657e-05
Feature 217,6.1417304e-05
Feature 218,6.955712e-05
Feature 219,6.170716e-05
Feature 220,8.1248465e-05
Feature 221,6.206783e-05
Feature 222,5.4006006e-05
Feature 223,5.8725134e-05
Feature 224,6.742463e-05
Feature 225,6.475789e-05
Feature 226,5.506386e-05
Feature 227,5.6855435e-05
Feature 228,7.116973e-05
Feature 229,4.6939505e-05
Feature 230,8.0065714e-05
Feature 231,3.52667e-05
Feature 232,5.3615768e-05
Feature 233,5.448628e-05
Feature 234,6.319948e-05
Feature 235,4.6241108e-05
Feature 236,4.6179943e-05
Feature 237,6.275991e-05
Feature 238,6.6042674e-05
Feature 239,4.4427645e-05
Feature 240,8.6075015e-05
Feature 241,8.780821e-05
Feature 242,6.8718815e-05
Feature 243,8.322535e-05
Feature 244,8.140727e-05
Feature 245,5.35045e-05
Feature 246,6.311187e-05
Feature 247,5.505771e-05
Feature 248,5.6673252e-05
Feature 249,7.761932e-05
Feature 250,4.8523452e-05
Feature 251,3.4816567e-05
Feature 252,5.643176e-05
Feature 253,6.064307e-05
Feature 254,6.6555825e-05
Feature 255,6.3798005e-05
Feature 256,5.684339e-05
Feature 257,7.75793e-05
Feature 258,7.5398086e-05
Feature 259,7.00108e-05
Feature 260,7.497275e-05
Feature 261,6.6670524e-05
Feature 262,5.0077124e-05
Feature 263,5.930233e-05
Feature 264,5.5324614e-05
Feature 265,6.2525585e-05
Feature 266,8.283389e-05
Feature 267,4.998408e-05
Feature 268,7.067947e-05
Feature 269,8.8195666e-05
Feature 270,5.9045597e-05
Feature 271,7.074334e-05
Feature 272,6.450005e-05
Feature 273,5.1571384e-05
Feature 274,5.6834644e-05
Feature 275,4.918948e-05
Feature 276,7.370065e-05
Feature 277,5.7819718e-05
Feature 278,7.062088e-05
Feature 279,5.383996e-05
Feature 280,5.854568e-05
Feature 281,6.281817e-05
Feature 282,7.9788115e-05
Feature 283,4.787447e-05
Feature 284,6.0932565e-05
Feature 285,4.8762904e-05
Feature 286,8.592684e-05
Feature 287,7.4930016e-05
Feature 288,4.9140726e-05
Feature 289,5.964567e-05
Feature 290,7.474448e-05
Feature 291,7.7987315e-05
Feature 292,5.8374568e-05
Feature 293,3.5867663e-05
Feature 294,4.6454865e-05
Feature 295,6.1665574e-05
Feature 296,6.212329e-05
Feature 297,6.735137e-05
Feature 298,5.4056378e-05
Feature 299,6.364575e-05
Feature 300,3.9943992e-05
Feature 301,8.06481e-05
Feature 302,5.890394e-05
Feature 303,6.565446e-05
Feature 304,7.114824e-05
Feature 305,4.9030125e-05
Feature 306,5.4752116e-05
Feature 307,7.867861e-05
Feature 308,5.5131037e-05
Feature 309,7.31745e-05
Feature 310,6.022695e-05
Feature 311,3.419687e-05
Feature 312,5.6512665e-05
Feature 313,6.874278e-05
Feature 314,4.934059e-05
Feature 315,6.911503e-05
Feature 316,5.2038e-05
Feature 317,6.427432e-05
Feature 318,7.7802084e-05
Feature 319,5.850467e-05
Feature 320,9.637471e-05
Feature 321,5.0096565e-05
Feature 322,7.0420305e-05
Feature 323,7.237025e-05
Feature 324,7.065649e-05
Feature 325,5.1193423e-05
Feature 326,9.58247e-05
Feature 327,7.2439936e-05
Feature 328,5.6284942e-05
Feature 329,0.000105159845
Feature 330,7.1226925e-05
Feature 331,4.57841e-05
Feature 332,6.333816e-05
Feature 333,9.06331e-05
Feature 334,6.6082954e-05
Feature 335,7.7501565e-05
Feature 336,5.9097274e-05
Feature 337,4.941678e-05
Feature 338,6.60439e-05
Feature 339,4.650025e-05
Feature 340,5.5078068e-05
Feature 341,6.8814064e-05
Feature 342,7.9172256e-05
Feature 343,7.631881e-05
Feature 344,7.754741e-05
Feature 345,8.506764e-05
Feature 346,4.7781712e-05
Feature 347,5.5960692e-05
Feature 348,6.314037e-05
Feature 349,5.325473e-05
Feature 350,4.2406904e-05
Feature 351,6.985138e-05
Feature 352,6.069442e-05
Feature 353,7.282817e-05
Feature 354,6.0337738e-05
Feature 355,7.956426e-05
Feature 356,8.650807e-05
Feature 357,8.3395236e-05
Feature 358,6.832603e-05
Feature 359,4.592602e-05
Feature 360,4.3866152e-05
Feature 361,6.521275e-05
Feature 362,6.823267e-05
Feature 363,6.681964e-05
Feature 364,9.7053264e-05
Feature 365,6.333622e-05
Feature 366,6.509166e-05
Feature 367,7.893752e-05
Feature 368,4.8624657e-05
Feature 369,3.634398e-05
Feature 370,5.9151687e-05
Feature 371,6.4028914e-05
Feature 372,6.020647e-05
Feature 373,5.5862052e-05
Feature 374,6.762656e-05
Feature 375,6.750712e-05
Feature 376,8.872915e-05
Feature 377,6.640638e-05
Feature 378,4.3821183e-05
Feature 379,3.2977576e-05
Feature 380,5.9128033e-05
Feature 381,4.9509796e-05
Feature 382,6.5526765e-05
Feature 383,5.126108e-05
Feature 384,6.989646e-05
Feature 385,6.088193e-05
Feature 386,6.57175e-05
Feature 387,7.826691e-05
Feature 388,5.984463e-05
Feature 389,6.33937e-05
Feature 390,8.380139e-05
Feature 391,6.259553e-05
Feature 392,4.505062e-05
Feature 393,7.136285e-05
Feature 394,6.542125e-05
Feature 395,6.974452e-05
Feature 396,6.2581545e-05
Feature 397,5.6498997e-05
Feature 398,7.257261e-05
Feature 399,4.3854518e-05
Feature 400,7.557086e-05
Feature 401,6.785392e-05
Feature 402,6.870637e-05
Feature 403,5.1074334e-05
Feature 404,6.794398e-05
Feature 405,6.047581e-05
Feature 406,6.535435e-05
Feature 407,7.451125e-05
Feature 408,7.036423e-05
Feature 409,6.108019e-05
Feature 410,6.844953e-05
Feature 411,6.762793e-05
Feature 412,5.8198057e-05
Feature 413,8.631462e-05
Feature 414,8.5288906e-05
Feature 415,7.690309e-05
Feature 416,4.3004005e-05
Feature 417,6.787893e-05
Feature 418,5.8522284e-05
Feature 419,4.0323423e-05
Feature 420,7.679116e-05
Feature 421,4.8605332e-05
Feature 422,4.4328597e-05
Feature 423,4.2081585e-05
Feature 424,8.053483e-05
Feature 425,4.8986305e-05
Feature 426,5.9016642e-05
Feature 427,5.1224495e-05
Feature 428,0.00010113653
Feature 429,6.225733e-05
Feature 430,7.568193e-05
Feature 431,7.26105e-05
Feature 432,6.1143925e-05
Feature 433,5.9960363e-05
Feature 434,6.185308e-05
Feature 435,4.77061e-05
Feature 436,7.931906e-05
Feature 437,9.0267e-05
Feature 438,4.481918e-05
Feature 439,4.5124398e-05
Feature 440,5.793428e-05
Feature 441,6.890235e-05
Feature 442,5.0812992e-05
Feature 443,4.8902013e-05
Feature 444,6.670944e-05
Feature 445,1.00847965e-05
Feature 446,6.657153e-05
Feature 447,4.3217533e-05
Feature 448,5.855518e-05
Feature 449,7.0323906e-05
Feature 450,7.176474e-05
Feature 451,7.215423e-05
Feature 452,4.34878e-05
Feature 453,6.486779e-05
Feature 454,6.696684e-05
Feature 455,6.3152045e-05
Feature 456,6.914223e-05
Feature 457,5.3859563e-05
Feature 458,6.686507e-05
Feature 459,6.0372415e-05
Feature 460,5.7761918e-05
Feature 461,7.675638e-05
Feature 462,6.496268e-05
Feature 463,4.6595233e-05
Feature 464,5.443273e-05
Feature 465,4.1054314e-05
Feature 466,7.762984e-05
Feature 467,6.012097e-05
Feature 468,4.4055138e-05
Feature 469,5.2039944e-05
Feature 470,5.9950176e-05
Feature 471,5.966153e-05
Feature 472,4.779784e-05
Feature 473,5.637649e-05
Feature 474,8.898616e-05
Feature 475,4.3206604e-05
Feature 476,9.1202244e-05
Feature 477,9.430421e-05
Feature 478,5.9240534e-05
Feature 479,6.169149e-05
Feature 480,5.432895e-05
Feature 481,5.858529e-05
Feature 482,6.700922e-05
Feature 483,8.38133e-05
Feature 484,6.8139874e-05
Feature 485,5.2698055e-05
Feature 486,5.4462977e-05
Feature 487,6.6011045e-05
Feature 488,5.1489245e-05
Feature 489,5.657912e-05
Feature 490,6.0637056e-05
Feature 491,8.528658e-05
Feature 492,8.3945335e-05
Feature 493,6.320968e-05
Feature 494,7.4082534e-05
Feature 495,4.937863e-05
Feature 496,3.2015858e-05
Feature 497,7.245533e-05
Feature 498,5.8613292e-05
Feature 499,6.069723e-05
Feature 500,9.070606e-05
Feature 501,4.448151e-05
Feature 502,6.972058e-05
Feature 503,4.8590056e-05
Feature 504,7.497445e-05
Feature 505,5.251429e-05
Feature 506,4.417717e-05
Feature 507,8.582452e-05
Feature 508,2.5836483e-05
Feature 509,6.474823e-05
Feature 510,3.9635044e-05
Feature 511,3.8548063e-05
Feature 512,8.4848434e-05
Feature 513,5.185875e-05
Feature 514,6.297491e-05
Feature 515,4.896691e-05
Feature 516,4.6309e-05
Feature 517,7.316886e-05
Feature 518,6.85608e-05
Feature 519,5.2019623e-05
Feature 520,6.9225425e-05
Feature 521,5.6089368e-05
Feature 522,4.3863736e-05
Feature 523,5.43732e-05
Feature 524,7.164255e-05
Feature 525,6.105287e-05
Feature 526,5.7068366e-05
Feature 527,7.445581e-05
Feature 528,4.7751342e-05
Feature 529,8.368042e-05
Feature 530,6.928329e-05
Feature 531,4.4135166e-05
Feature 532,6.841607e-05
Feature 533,6.5852575e-05
Feature 534,5.1648814e-05
Feature 535,6.563773e-05
Feature 536,7.268454e-05
Feature 537,4.4063592e-05
Feature 538,4.6081233e-05
Feature 539,6.508935e-05
Feature 540,6.0602328e-05
Feature 541,3.2155407e-05
Feature 542,7.8283854e-05
Feature 543,6.46276e-05
Feature 544,6.59182e-05
Feature 545,6.606865e-05
Feature 546,6.8850146e-05
Feature 547,5.7299058e-05
Feature 548,8.056113e-05
Feature 549,3.774448e-05
Feature 550,5.9812748e-05
Feature 551,6.475909e-05
Feature 552,5.5228298e-05
Feature 553,7.625151e-05
Feature 554,9.01302e-05
Feature 555,9.2881004e-05
Feature 556,6.111683e-05
Feature 557,5.3490403e-05
Feature 558,7.706417e-05
Feature 559,5.8708036e-05
Feature 560,6.4171756e-05
Feature 561,5.3942567e-05
Feature 562,7.9524834e-05
Feature 563,5.9601032e-05
Feature 564,7.501586e-05
Feature 565,4.887729e-05
Feature 566,5.619166e-05
Feature 567,7.716836e-05
Feature 568,6.460686e-05
Feature 569,5.2853065e-05
Feature 570,4.856834e-05
Feature 571,5.909572e-05
Feature 572,6.5107066e-05
Feature 573,6.496699e-05
Feature 574,6.417651e-05
Feature 575,4.7238806e-05
Feature 576,6.3666e-05
Feature 577,8.111922e-05
Feature 578,3.9338654e-05
Feature 579,4.675636e-05
Feature 580,6.501346e-05
Feature 581,5.6252724e-05
Feature 582,3.9962837e-05
Feature 583,6.145723e-05
Feature 584,6.250201e-05
Feature 585,7.1953415e-05
Feature 586,4.5074186e-05
Feature 587,5.8550613e-05
Feature 588,5.1632986e-05
Feature 589,6.406694e-05
Feature 590,6.805537e-05
Feature 591,0.00010013553
Feature 592,5.6643286e-05
Feature 593,6.456453e-05
Feature 594,4.389486e-05
Feature 595,5.6997193e-05
Feature 596,6.438883e-05
Feature 597,5.4687658e-05
Feature 598,2.9187797e-05
Feature 599,6.859757e-05
Feature 600,6.8840614e-05
Feature 601,4.9995913e-05
Feature 602,5.2506737e-05
Feature 603,6.760369e-05
Feature 604,7.272314e-05
Feature 605,3.933747e-05
Feature 606,8.954149e-05
Feature 607,5.557704e-05
Feature 608,7.083338e-05
Feature 609,7.248072e-05
Feature 610,5.955144e-05
Feature 611,4.0803752e-05
Feature 612,6.196342e-05
Feature 613,6.0706818e-05
Feature 614,4.6986668e-05
Feature 615,6.4640655e-05
Feature 616,4.7075002e-05
Feature 617,6.3506974e-05
Feature 618,4.8008988e-05
Feature 619,4.3756485e-05
Feature 620,4.3449156e-05
Feature 621,5.6661527e-05
Feature 622,4.5214183e-05
Feature 623,7.3610136e-05
Feature 624,4.935388e-05
Feature 625,3.6233734e-05
Feature 626,3.9857237e-05
Feature 627,5.124678e-05
Feature 628,7.566294e-05
Feature 629,8.252855e-05
Feature 630,6.512943e-05
Feature 631,5.6184726e-05
Feature 632,7.0741575e-05
Feature 633,6.618251e-05
Feature 634,6.451452e-05
Feature 635,5.4166332e-05
Feature 636,6.765138e-05
Feature 637,5.4315497e-05
Feature 638,7.930781e-05
Feature 639,6.7165885e-05
Feature 640,5.626858e-05
Feature 641,4.3457705e-05
Feature 642,6.282118e-05
Feature 643,6.337395e-05
Feature 644,5.8373196e-05
Feature 645,6.440351e-05
Feature 646,5.9818467e-05
Feature 647,7.776548e-05
Feature 648,3.1901174e-05
Feature 649,2.896724e-05
Feature 650,7.405233e-05
Feature 651,5.806155e-05
Feature 652,5.686676e-05
Feature 653,7.262223e-05
Feature 654,6.698621e-05
Feature 655,4.552549e-05
Feature 656,8.340185e-05
Feature 657,6.649001e-05
Feature 658,9.217649e-05
Feature 659,6.225462e-05
Feature 660,6.412896e-05
Feature 661,5.698002e-05
Feature 662,4.3409254e-05
Feature 663,6.7389876e-05
Feature 664,4.567949e-05
Feature 665,7.373894e-05
Feature 666,5.3662876e-05
Feature 667,4.2475353e-05
Feature 668,5.1629606e-05
Feature 669,6.5571934e-05
Feature 670,8.733403e-05
Feature 671,5.4577784e-05
Feature 672,4.7927857e-05
Feature 673,8.0243815e-05
Feature 674,5.763877e-05
Feature 675,4.4519355e-05
Feature 676,3.52465e-05
Feature 677,8.278915e-05
Feature 678,7.461181e-05
Feature 679,5.6106866e-05
Feature 680,7.704843e-05
Feature 681,7.476851e-05
Feature 682,8.037094e-05
Feature 683,4.561483e-05
Feature 684,7.1219656e-05
Feature 685,5.489338e-05
Feature 686,4.7293466e-05
Feature 687,4.5919543e-05
Feature 688,7.0034905e-05
Feature 689,8.32268e-05
Feature 690,6.7709305e-05
Feature 691,5.6796172e-05
Feature 692,5.982499e-05
Feature 693,6.566824e-05
Feature 694,5.7444795e-05
Feature 695,4.6883455e-05
Feature 696,6.3131774e-05
Feature 697,4.711641e-05
Feature 698,5.131853e-05
Feature 699,2.9458979e-05
Feature 700,4.7812668e-05
Feature 701,5.1415245e-05
Feature 702,5.504676e-05
Feature 703,5.8507616e-05
Feature 704,4.851001e-05
Feature 705,5.212171e-05
Feature 706,5.5537726e-05
Feature 707,8.767553e-05
Feature 708,8.574694e-05
Feature 709,6.5001426e-05
Feature 710,8.691105e-05
Feature 711,7.290757e-05
Feature 712,5.7988484e-05
Feature 713,5.782688e-05
Feature 714,8.419466e-05
Feature 715,8.731756e-05
Feature 716,3.6357967e-05
Feature 717,3.84109e-05
Feature 718,4.917345e-05
Feature 719,5.252844e-05
Feature 720,6.644912e-05
Feature 721,6.532006e-05
Feature 722,6.161689e-05
Feature 723,5.4632477e-05
Feature 724,5.3216536e-05
Feature 725,2.66358e-05
Feature 726,4.033751e-05
Feature 727,5.9451726e-05
Feature 728,8.0494094e-05
Feature 729,3.5167475e-05
Feature 730,4.336699e-05
Feature 731,6.069967e-05
Feature 732,5.157359e-05
Feature 733,6.0963215e-05
Feature 734,6.8401154e-05
Feature 735,4.4611403e-05
Feature 736,4.423615e-05
Feature 737,6.5025444e-05
Feature 738,5.9062077e-05
Feature 739,8.394734e-05
Feature 740,5.5867353e-05
Feature 741,6.08493e-05
Feature 742,5.3076084e-05
Feature 743,6.499692e-05
Feature 744,4.797419e-05
Feature 745,6.407129e-05
Feature 746,6.802064e-05
Feature 747,5.2428997e-05
Feature 748,5.262904e-05
Feature 749,5.3362553e-05
Feature 750,7.133822e-05
Feature 751,4.563457e-05
Feature 752,5.92139e-05
Feature 753,3.7925194e-05
Feature 754,9.943285e-05
Feature 755,3.1746484e-05
Feature 756,4.3427946e-05
Feature 757,4.662887e-05
Feature 758,7.1145296e-05
Feature 759,3.9684226e-05
Feature 760,7.219426e-05
